Entity,Year,Total government spending percapita (per capita USD PPP),Deaths,Over
Portugal,2010,14178.07,481.50645521309474,False
Portugal,2011,13394.46,460.87531384849547,False
Portugal,2012,12837.45,448.16348294618876,False
Portugal,2013,13932.98,435.5866209027813,False
Portugal,2014,14912.09,428.0648097154094,False
Portugal,2015,14345.54,418.69060004861467,False
Portugal,2016,13789.67,429.09523776311414,False
Russia,2011,8424.4297,42051.58523713662,False
Russia,2012,9160.1797,39831.375908599424,False
Russia,2013,9533.8701,38848.50428676144,False
Russia,2014,10046.81,39953.38497714076,False
Slovakia,2009,10117.01,259.79782635376205,False
Slovakia,2010,10465.87,268.50897170159493,False
Slovakia,2011,10545.58,283.6513505859166,False
Slovakia,2012,10829.54,296.9580508360848,False
Slovakia,2013,11561.81,301.08258345785123,False
Slovakia,2014,12193.66,313.48706943971354,False
Slovakia,2015,13629.8,319.77289984077186,False
Slovakia,2016,12989.95,301.09368180850515,False
Slovenia,2009,13248.64,179.08219275535455,False
Slovenia,2010,13688.89,188.56633063766094,False
Slovenia,2011,14402.53,194.94467707529336,False
Slovenia,2012,14024.37,209.42799390335603,False
Slovenia,2013,17820.1,218.51659460229303,True
Slovenia,2014,15516.43,213.88396582787297,False
Slovenia,2015,15382.01,233.95949117880613,False
Slovenia,2016,15054.85,223.81962124835962,False
South Korea,2009,9904.6602,1113.3207193959174,False
South Korea,2010,9444.7402,1103.7672013668723,False
South Korea,2011,10133.31,1094.4263824223508,False
South Korea,2012,10545.85,1096.436541868329,False
South Korea,2013,10401.85,1096.5738245702978,False
South Korea,2014,10824.24,1096.7310100881764,False
South Korea,2015,11192.64,1118.8713028692525,False
Spain,2009,14838.09,1335.148865204433,False
Spain,2010,14595.02,1311.243399186866,False
Spain,2011,14688.34,1308.8763770408061,False
Spain,2012,15385.55,1308.6795113646974,False
Spain,2013,14866.93,1273.5951046018802,False
Spain,2014,15119.85,1274.6587315169581,False
Spain,2015,15195.32,1305.8673471070447,False
Spain,2016,15324.39,1282.6664885636017,False
Sweden,2009,21096.0,747.4357606285073,True
Sweden,2010,21340.75,727.8419117010824,True
Sweden,2011,22161.57,723.7068218317188,True
Sweden,2012,23138.1,711.8552367030695,True
Sweden,2013,23923.449,725.6168101828121,True
Sweden,2014,23899.949,748.8066618927334,True
Sweden,2015,24002.91,778.0725578002762,True
Sweden,2016,24761.689,772.5468313993908,True
Switzerland,2009,17031.08,490.91463498135295,True
Switzerland,2010,17353.75,473.63269746530557,True
Switzerland,2011,18397.641,463.4732316938017,True
Switzerland,2012,19163.359,461.6097477780088,True
Switzerland,2013,20420.131,469.24378601193087,True
Switzerland,2014,20685.84,462.61735077842974,True
Switzerland,2015,21181.07,458.2842770950589,True
Turkey,2009,6271.3701,440.82965900366094,False
Turkey,2010,6592.98,464.06595591628155,False
Turkey,2011,6868.8398,495.3436674365673,False
Turkey,2012,7204.6499,533.9363762020193,False
Turkey,2013,7690.0801,585.8046735435945,False
Turkey,2014,7830.6401,658.8337977144423,False
Turkey,2015,8052.9399,695.4889446239588,False
United Kingdom,2009,16467.381,4776.795983980221,True
United Kingdom,2010,17172.301,4761.996385469721,True
United Kingdom,2011,16924.08,4656.769834816399,True
United Kingdom,2012,17365.32,4602.136235594397,True
United Kingdom,2013,17440.42,4805.015196896606,True
United Kingdom,2014,17801.5,4912.249988439866,True
United Kingdom,2015,17910.301,5122.638553666103,True
United Kingdom,2016,18055.17,5324.974208932033,True
United States,2009,20169.84,41091.77423862781,True
United States,2010,20739.48,43845.16197212309,True
United States,2011,20796.711,47700.83258662572,True
United States,2012,20560.391,51472.01491745461,True
United States,2013,20410.4,56252.462039633785,True
United States,2014,20741.029,62145.94861674417,True
United States,2015,21157.32,69477.93364932186,True
